Gender,Tinggi Badan (cm),Berat Badan (kg),Keterangan
0,49,2.1,Sangat Kurus
0,49,2.5,Kurus
0,49,4,Normal
0,49,4.1,Gemuk
0,49.5,2.1,Sangat Kurus
0,49.5,2.5,Kurus
0,49.5,4.1,Normal
0,49.5,4.2,Gemuk
0,50,2.2,Sangat Kurus
0,50,2.5,Kurus
0,50,4.2,Normal
0,50,4.3,Gemuk
0,50.5,2.2,Sangat Kurus
0,50.5,2.6,Kurus
0,50.5,4.3,Normal
0,50.5,4.4,Gemuk
0,51,2.1,Sangat Kurus
0,51,2.6,Kurus
0,51,4.4,Normal
0,51,4.5,Gemuk
0,51.5,2.3,Sangat Kurus
0,51.5,2.7,Kurus
0,51.5,4.5,Normal
0,51.5,4.6,Gemuk
0,52,2.3,Sangat Kurus
0,52,2.7,Kurus
0,52,4.7,Normal
0,52,4.8,Gemuk
0,52.5,2.4,Sangat Kurus
0,52.5,2.8,Kurus
0,52.5,4.8,Normal
0,52.5,4.9,Gemuk
0,53,2.4,Sangat Kurus
0,53,2.9,Kurus
0,53,4.9,Normal
0,53,5,Gemuk
0,53.5,2.5,Sangat Kurus
0,53.5,3,Kurus
0,53.5,5,Normal
0,53.5,5.1,Gemuk
0,54,2.6,Sangat Kurus
0,54,3,Kurus
0,54,5.2,Normal
0,54,5.3,Gemuk
0,54.5,2.6,Sangat Kurus
0,54.5,3.1,Kurus
0,54.5,5.3,Normal
0,54.5,5.4,Gemuk
0,55,2.7,Sangat Kurus
0,55,3.2,Kurus
0,55,5.5,Normal
0,55,5.6,Gemuk
0,55.5,2.8,Sangat Kurus
0,55.5,3.3,Kurus
0,55.5,5.6,Normal
0,55.5,5.7,Gemuk
0,56,2.9,Sangat Kurus
0,56,3.4,Kurus
0,56,5.7,Normal
0,56,5.8,Gemuk
0,56.5,2.9,Sangat Kurus
0,56.5,3.5,Kurus
0,56.5,5.9,Normal
0,56.5,6,Gemuk
0,57,3,Sangat Kurus
0,57,3.6,Kurus
0,57,6,Normal
0,57,6.1,Gemuk
0,57.5,3.1,Sangat Kurus
0,57.5,3.7,Kurus
0,57.5,6.2,Normal
0,57.5,6.3,Gemuk
0,58,3.2,Sangat Kurus
0,58,3.8,Kurus
0,58,6.3,Normal
0,58,6.4,Gemuk
0,58.5,3.3,Sangat Kurus
0,58.5,3.9,Kurus
0,58.5,6.5,Normal
0,58.5,6.6,Gemuk
0,59,3.4,Sangat Kurus
0,59,4,Kurus
0,59,6.6,Normal
0,59,6.7,Gemuk
0,59.5,3.5,Sangat Kurus
0,59.5,4.1,Kurus
0,59.5,6.8,Normal
0,59.5,6.9,Gemuk
0,60,3.6,Sangat Kurus
0,60,4.2,Kurus
0,60,6.9,Normal
0,60,7,Gemuk
0,60.5,3.7,Sangat Kurus
0,60.5,4.3,Kurus
0,60.5,7.1,Normal
0,60.5,7.2,Gemuk
0,61,3.8,Sangat Kurus
0,61,4.5,Kurus
0,61,7.2,Normal
0,61,7.3,Gemuk
0,61.5,3.9,Sangat Kurus
0,61.5,4.6,Kurus
0,61.5,7.4,Normal
0,61.5,7.5,Gemuk
0,62,4,Sangat Kurus
0,62,4.7,Kurus
0,62,7.5,Normal
0,62,7.6,Gemuk
0,62.6,4.1,Sangat Kurus
0,62.5,4.8,Kurus
0,62.5,7.7,Normal
0,62.5,7.8,Gemuk
0,63,4.3,Sangat Kurus
0,63,4.7,Kurus
0,63,7.8,Normal
0,63,7.9,Gemuk
0,63.5,4.4,Sangat Kurus
0,63.5,5.1,Kurus
0,63.5,8,Normal
0,63.5,8.1,Gemuk
0,64,4.5,Sangat Kurus
0,64,5.2,Kurus
0,64,8.1,Normal
0,64,8.2,Gemuk
0,64.5,4.6,Sangat Kurus
0,64.5,5.3,Kurus
0,64.5,8.3,Normal
0,64.5,8.4,Gemuk
0,65,4.7,Sangat Kurus
0,65,5.4,Kurus
0,65,8.4,Normal
0,65,8.5,Gemuk
0,65.5,4.8,Sangat Kurus
0,65.5,5.6,Kurus
0,65.5,8.6,Normal
0,65.5,8.7,Gemuk
0,66,5,Sangat Kurus
0,66,5.7,Kurus
0,66,8.7,Normal
0,66,8.8,Gemuk
0,66.5,5.1,Sangat Kurus
0,66.5,5.8,Kurus
0,66.5,8.9,Normal
0,66.5,9,Gemuk
0,67,5.2,Sangat Kurus
0,67,5.9,Kurus
0,67,9,Normal
0,67,9.1,Gemuk
0,67.5,5.3,Sangat Kurus
0,67.5,6.1,Kurus
0,67.5,9.2,Normal
0,67.5,9.3,Gemuk
0,68,5.4,Sangat Kurus
0,68,6.2,Kurus
0,68,9.3,Normal
0,68,9.4,Gemuk
0,68.5,5.5,Sangat Kurus
0,68.5,6.3,Kurus
0,68.5,9.5,Normal
0,68.5,9.6,Gemuk
0,69,5.7,Sangat Kurus
