Gender,Umur,Tinggi(cm),Keterangan
0,0,43.5,Sangat Pendek
0,0,45.4,Pendek
0,0,52.9,Normal
0,0,53,Tinggi
0,1,47.7,Sangat Pendek
0,1,48.8,Pendek
0,1,67.6,Normal
0,1,67.7,Tinggi
0,2,49.9,Sangat Pendek
0,2,53,Pendek
0,2,61.1,Normal
0,2,61.2,Tinggi
0,3,53.4,Sangat Pendek
0,3,55.6,Pendek
0,3,64,Normal
0,3,64.1,Tinggi
0,4,55.5,Sangat Pendek
0,4,57.8,Pendek
0,4,66.4,Normal
0,4,66.5,Tinggi
0,5,57.3,Sangat Pendek
0,5,59.6,Pendek
0,5,68.5,Normal
0,5,68.6,Tinggi
0,6,58.8,Sangat Pendek
0,6,61.2,Pendek
0,6,70.3,Normal
0,6,70.4,Tinggi
0,7,60.2,Sangat Pendek
0,7,62.7,Pendek
0,7,71.9,Normal
0,7,72,Tinggi
0,8,61.6,Sangat Pendek
0,8,64,Pendek
0,8,73.5,Normal
0,8,73.6,Tinggi
0,9,62.8,Sangat Pendek
0,9,65.3,Pendek
0,9,75,Normal
0,9,75.1,Tinggi
0,10,64,Sangat Pendek
0,10,66.5,Pendek
0,10,76.4,Normal
0,10,76.5,Tinggi
0,11,65.1,Sangat Pendek
0,11,67.7,Pendek
0,11,77.8,Normal
0,11,77.9,Tinggi
0,12,66.2,Sangat Pendek
0,12,68.9,Pendek
0,12,79.2,Normal
0,12,79.3,Tinggi
0,13,67.2,Sangat Pendek
0,13,70,Pendek
0,13,80.5,Normal
0,13,80.6,Tinggi
0,14,68.2,Sangat Pendek
0,14,71,Pendek
0,14,81.7,Normal
0,14,81.8,Tinggi
0,15,69.2,Sangat Pendek
0,15,72,Pendek
0,15,83,Normal
0,15,83.1,Tinggi
0,16,70.1,Sangat Pendek
0,16,73,Pendek
0,16,84.2,Normal
0,16,84.3,Tinggi
0,17,71,Sangat Pendek
0,17,74,Pendek
0,17,85.4,Normal
0,17,85.5,Tinggi
0,18,71.9,Sangat Pendek
0,18,74.9,Pendek
0,18,86.5,Normal
0,18,86.6,Tinggi
0,19,72.7,Sangat Pendek
